id;name;country;type;caliber_mm;barrel_length;mounting;rate_of_fire_rpm;muzzle_velocity_mps;typical_ammunition;characteristics;source_url
german-kwk-40-l43;7.5 cm KwK 40 L/43;Germany;tank gun;75;L/43;turret;6-8;740-790;APCBC PzGr.39, APCR PzGr.40, HE Sprgr.34;Long 75 mm German tank gun fitted to Panzer IV F2 and early G, improved anti-armor performance over KwK 37.;https://en.wikipedia.org/wiki/7.5_cm_KwK_40
german-kwk-42-l70;7.5 cm KwK 42 L/70;Germany;tank gun;75;L/70;turret;6;925-1120;APCBC PzGr.39/42, APCR PzGr.40/42, HE Sprgr.42;High velocity Panther gun with strong long-range armor penetration.;https://en.wikipedia.org/wiki/7.5_cm_KwK_42
german-kwk-36-l56;8.8 cm KwK 36 L/56;Germany;tank gun;88;L/56;turret;6-10;773-930;APCBC PzGr.39, APCR PzGr.40, HE Sprgr.;Tiger I main gun derived from the 88 mm Flak family, accurate and effective against heavy armor.;https://en.wikipedia.org/wiki/8.8_cm_KwK_36
german-kwk-43-l71;8.8 cm KwK 43 L/71;Germany;tank gun;88;L/71;turret or casemate;6-10;1000-1130;APCBC PzGr.39/43, APCR PzGr.40/43, HE Sprgr.43;Very high velocity 88 mm gun used on Tiger II and related tank destroyers.;https://en.wikipedia.org/wiki/8.8_cm_KwK_43
german-stuk-40-l48;7.5 cm StuK 40 L/48;Germany;assault gun;75;L/48;casemate;6-8;750-790;APCBC PzGr.39, APCR PzGr.40, HE Sprgr.34;Assault-gun version of the KwK 40 family used in StuG III and StuG IV.;https://en.wikipedia.org/wiki/7.5_cm_KwK_40
german-mg-34;Maschinengewehr 34;Germany;machine gun;7.92;;coaxial, bow, pintle;800-900;755;7.92x57 mm Mauser;General-purpose machine gun commonly used as German tank coaxial and hull armament.;https://en.wikipedia.org/wiki/MG_34
soviet-f-34;76.2 mm F-34;USSR;tank gun;76.2;L/42.5;turret;5-8;655-680;AP BR-350, HE OF-350;Standard T-34/76 gun from 1941 onward, dual-purpose but outclassed by late-war heavy armor.;https://en.wikipedia.org/wiki/F-34_tank_gun
soviet-zis-s-53;85 mm ZiS-S-53;USSR;tank gun;85;L/54.6;turret;3-5;792;AP BR-365, APCR BR-365P, HE O-365;Mass-production T-34-85 gun, based on 85 mm anti-aircraft gun ballistics.;https://en.wikipedia.org/wiki/85_mm_gun_D-5
soviet-d-25t;122 mm D-25T;USSR;tank gun;122;L/43;turret;2-3;780;AP BR-471, HE OF-471;Large-caliber gun with powerful HE and anti-armor effect, limited by separate-loading ammunition.;https://en.wikipedia.org/wiki/122_mm_gun_M1931/37_(A-19)
soviet-d-10s;100 mm D-10S;USSR;tank destroyer gun;100;L/53.5;casemate;4-6;895;AP BR-412, HE OF-412;Naval-derived 100 mm gun adapted for the SU-100, excellent anti-tank performance for 1944.;https://en.wikipedia.org/wiki/D-10_tank_gun
