id;name;type;faction;from;to;cost;fuel;logistics;armor_front;armor_side;armor_rear;armor_exposed;bases_count;bases_members;bases_weapons;weapons;keywords;imageUrl
panzergrenadier-squad;Panzergrenadier Squad;infantry;german;1939;1945;11;;5;;;;;2;5|5;1xgerman-mg-34-42(normal),3xgerman-mauser-kar-98k(normal)|5xgerman-mauser-kar-98k(normal);;;/images/units/german-panzergrenadier-squad.jpg
german-panzer-i-a;Panzer I Ausf. A;tank;german;1934;1941;12;3;3;13;13;13;5;;;;2xgerman-mg-13(turret);;/images/units/german-panzer-i-a.jpg
german-panzer-ii-a;Panzer II Ausf. A;tank;german;1936;1942;18;4;4;14;14;14;5;;;;1xgerman-kwk-30-l55(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-ii-a.jpg
german-panzer-38t-a;Panzer 38(t) Ausf. A;tank;german;1939;1942;20;4;4;25;15;15;5;;;;1xgerman-kwk-38t(turret)|1xgerman-mg-37t(coaxial)|1xgerman-mg-37t(hull);;/images/units/german-panzer-38t-a.jpg
german-panzer-iv-a;Panzer IV Ausf. A;tank;german;1943;1945;32;8;5;80;30;20;10;;;;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-iv-a.jpg
german-panzer-iv-bc;Panzer IV Ausf. B/C;tank;german;1943;1945;32;8;5;80;30;20;10;;;;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-iv-bc.jpg
german-panzer-iv-d;Panzer IV Ausf. D;tank;german;1943;1945;32;8;5;80;30;20;10;;;;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-iv-d.jpg
german-tank-01;Panzer IV Ausf. G;tank;german;1943;1945;32;8;5;80;30;20;10;;;;1xgerman-kwk-40-l48(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-iv-g.jpg
german-tank-02;Panzer III Ausf. J;tank;german;1941;1943;25;5;5;50;30;20;10;;;;1xgerman-kwk-39(turret)|1xgerman-mg-34-42(coaxial);;/images/units/german-panzer-iii-j.jpg
german-stug-iii-a;StuG III Ausf. A-E;assault-gun;german;1940;1940;25;5;5;50;30;30;10;;;;1xgerman-kwk-37-l24(hull);;/images/units/german-stug-iii-a.jpg
german-stug-iii-f;StuG III Ausf. F;assault-gun;german;1942;1942;30;5;5;50;30;30;10;;;;1xgerman-kwk-40-l43(hull);;/images/units/german-stug-iii-f.jpg
