id;name;model_family;country;type;technical_spec;units_built;production_start;production_end;armor_front_mm;armor_front_notes;armor_side_mm;armor_side_notes;armor_rear_mm;armor_rear_notes;armor_exposed_mm;armor_exposed_notes;road_speed_kmh;offroad_speed_kmh;sustained_march_speed_kmh;main_gun_rate_rpm;weapons_equipped;notes;source_url
german-panzer-i-a;Panzer I Ausf. A;Panzer I;Germany;tank;crew 2, combat weight about 5.4 t, Krupp M305 gasoline engine;818;1934;1936;13;profile from units.json, thin vertical plate armor;13;profile from units.json;13;profile from units.json;5;profile from units.json, roof and deck vulnerable;40;18;32;;2xgerman-mg-13(turret);Machine-gun tank used mainly for early-war training, reconnaissance and infantry support.;https://en.wikipedia.org/wiki/Panzer_I
german-panzer-ii-a;Panzer II Ausf. A;Panzer II;Germany;tank;crew 3, combat weight about 7.6 t, Maybach HL62 TRM gasoline engine;210;1937;1938;14;profile from units.json, early light tank armor;14;profile from units.json;14;profile from units.json;5;profile from units.json, roof and deck vulnerable;40;20;35;120-280;1xgerman-kwk-30-l55(turret)|1xgerman-mg-34-42(coaxial);Ausf. A row represents the early Panzer II production family used in the project data.;https://en.wikipedia.org/wiki/Panzer_II
german-panzer-38t-a;Panzer 38(t) Ausf. A;Panzer 38(t);Germany;tank;crew 4, combat weight about 9.5 t, Praga EPA gasoline engine;150;1939;1939;25;profile from units.json, riveted frontal armor;15;profile from units.json;15;profile from units.json;5;profile from units.json, roof and deck vulnerable;42;18;34;12-15;1xgerman-kwk-38t(turret)|1xgerman-mg-37t(coaxial)|1xgerman-mg-37t(hull);Czech LT vz.38 in German service, valued for reliability in early campaigns.;https://en.wikipedia.org/wiki/Panzer_38(t)
german-panzer-iv-a;Panzer IV Ausf. A;Panzer IV;Germany;tank;crew 5, combat weight about 18.4 t, Maybach HL108 TR gasoline engine;35;1937;1938;80;profile from units.json, game profile uses late-war frontal value;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;18;32;10-15;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);Historical Ausf. A armor was much lighter than this project profile.;https://en.wikipedia.org/wiki/Panzer_IV
german-panzer-iv-bc;Panzer IV Ausf. B/C;Panzer IV;Germany;tank;crew 5, combat weight about 18.8-19 t, Maybach HL120 TR gasoline engine;182;1938;1939;80;profile from units.json, game profile uses late-war frontal value;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;18;32;10-15;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);Combines Ausf. B and C as defined by units.json.;https://en.wikipedia.org/wiki/Panzer_IV
german-panzer-iv-d;Panzer IV Ausf. D;Panzer IV;Germany;tank;crew 5, combat weight about 20 t, Maybach HL120 TRM gasoline engine;229;1939;1941;80;profile from units.json, game profile uses upgraded frontal value;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;18;32;10-15;1xgerman-kwk-37-l24(turret)|1xgerman-mg-34-42(coaxial);Short 75 mm support tank variant represented with project armor values.;https://en.wikipedia.org/wiki/Panzer_IV
german-tank-01;Panzer IV Ausf. G;Panzer IV;Germany;tank;crew 5, combat weight about 23.5 t, Maybach HL120 TRM gasoline engine;1687;1942-05;1943-06;80;profile from units.json, hull front range 50-80 mm and turret front about 50 mm;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;18;32;6-8;1xgerman-kwk-40-l48(turret)|1xgerman-mg-34-42(coaxial);Unit id preserved from units.json, image points to german-panzer-iv-g.;https://www.onwar.com/wwii/tanks/germany/ge046pz4g.html
german-tank-02;Panzer III Ausf. J;Panzer III;Germany;tank;crew 5, combat weight about 21.5 t, Maybach HL120 TRM gasoline engine;2616;1941;1942;50;profile from units.json, late Ausf. J frontal basis;30;profile from units.json;20;profile from units.json;10;profile from units.json, roof and deck vulnerable;40;20;35;10-15;1xgerman-kwk-39(turret)|1xgerman-mg-34-42(coaxial);Long 5 cm gun variant represented by the project id german-tank-02.;https://en.wikipedia.org/wiki/Panzer_III
german-stug-iii-a;StuG III Ausf. A-E;StuG III;Germany;assault-gun;crew 4, combat weight about 19.6-21.6 t, Panzer III chassis;834;1940;1942;50;profile from units.json, early casemate front;30;profile from units.json;30;profile from units.json;10;profile from units.json, roof vulnerable;40;16;30;10-15;1xgerman-kwk-37-l24(hull);Aggregated early StuG III Ausf. A-E row from units.json.;https://en.wikipedia.org/wiki/Sturmgesch%C3%BCtz_III
german-stug-iii-f;StuG III Ausf. F;StuG III;Germany;assault-gun;crew 4, combat weight about 23.2 t, Panzer III chassis;359;1942;1942;50;profile from units.json, early long-gun casemate front;30;profile from units.json;30;profile from units.json;10;profile from units.json, roof vulnerable;40;16;30;6-8;1xgerman-kwk-40-l43(hull);First long 75 mm StuG variant in the project roster.;https://en.wikipedia.org/wiki/Sturmgesch%C3%BCtz_III
german-stug-iii-g;StuG III Ausf. G;StuG III;Germany;assault-gun;crew 4, combat weight about 24.3 t, Panzer III chassis;7720;1942-12;1945-03;80;profile from units.json, hull and casemate front 80 mm;30;profile from units.json;30;profile from units.json;10;profile from units.json, roof vulnerable;40;16;30;6-8;1xgerman-kwk-40-l48(hull);Most numerous StuG III version.;https://germanwarmachine.com/weapons-technology/tracked-vehicles/stug-iii-ausf-g.html
german-stug-iv;StuG IV;StuG IV;Germany;assault-gun;crew 4, combat weight about 23 t, Panzer IV chassis;1141;1943-12;1945-03;80;profile from units.json, frontal casemate protection;30;profile from units.json;30;profile from units.json;10;profile from units.json, roof vulnerable;40;16;30;6-8;1xgerman-kwk-40-l48(hull)|1xgerman-mg-34-42(coaxial);Panzer IV based assault gun with StuG III style superstructure.;https://en.wikipedia.org/wiki/Sturmgesch%C3%BCtz_IV
german-recon-01;Sd.Kfz. 222 Armoured Car;Sd.Kfz. 222;Germany;reconnaissance;crew 3, combat weight about 4.8 t, Horch 3.5 l engine, 4x4 armored car;989;1937;1943;14;historical frontal armor estimate, no profile in units.json;8;historical side armor estimate;8;historical rear armor estimate;5;open-topped turret and thin roof protection;80;25;55;120-280;1xgerman-kwk-30-l55(turret)|1xgerman-mg-34-42(coaxial);Included because units.json defines it as an armored car vehicle despite lacking a profile block.;https://en.wikipedia.org/wiki/Leichter_Panzersp%C3%A4hwagen
german-tiger-i;Tiger Ausf. H1 / E;Tiger I;Germany;tank;crew 5, combat weight about 57 t, Maybach HL230 P45 gasoline engine;1355;1942-08;1944-08;150;profile from units.json, game value higher than common 100-120 mm historical frontal figures;90;profile from units.json;90;profile from units.json;30;profile from units.json, roof and deck vulnerable;38;12;24;6-10;1xgerman-kwk-36-l56(turret)|1xgerman-mg-34-42(coaxial)|2xgerman-mg-34-42(turret);Project profile emphasizes heavy frontal protection.;https://en.wikipedia.org/wiki/Tiger_I
german-tiger-ii;Tiger II;Tiger II;Germany;tank;crew 5, combat weight about 69.8 t, Maybach HL230 P30 gasoline engine;492;1944-01;1945-03;102;profile from units.json, historical upper glacis was about 150 mm at 50 deg;82;profile from units.json;82;profile from units.json;15;profile from units.json, roof and deck vulnerable;41;10;20;6-10;1xgerman-8,8-cm-kwk-43(turret)|1xgerman-mg-34-42(coaxial)|2xgerman-mg-34-42(turret);Armor values follow units.json even where they differ from common historical summaries.;https://en.wikipedia.org/wiki/Tiger_II
german-panther-d;Panther Ausf. D;Panther;Germany;tank;crew 5, combat weight about 44.8 t, Maybach HL230 P30 gasoline engine;842;1943-01;1943-09;80;profile from units.json, upper glacis 80 mm sloped;40;profile from units.json;30;profile from units.json;15;profile from units.json, roof and deck vulnerable;46;18;35;6;1xgerman-kwk-42-l70(turret)|1xgerman-mg-34-42(coaxial);Marked low-reliability in units.json keywords.;https://en.wikipedia.org/wiki/Panther_tank
german-panther-a;Panther Ausf. A;Panther;Germany;tank;crew 5, combat weight about 45 t, Maybach HL230 P30 gasoline engine;2200;1943-08;1944-06;80;profile from units.json, upper glacis 80 mm sloped;40;profile from units.json;30;profile from units.json;15;profile from units.json, roof and deck vulnerable;46;18;35;6;1xgerman-kwk-42-l70(turret)|1xgerman-mg-34-42(coaxial);Intermediate Panther production model.;https://en.wikipedia.org/wiki/Panther_tank
german-panther-g;Panther Ausf. G;Panther;Germany;tank;crew 5, combat weight about 45.5 t, Maybach HL230 P30 gasoline engine;2953;1944-03;1945-04;80;profile from units.json, upper glacis 80 mm sloped;50;profile from units.json, improved hull side value;30;profile from units.json;15;profile from units.json, roof and deck vulnerable;46;18;35;6;1xgerman-kwk-42-l70(turret)|1xgerman-mg-34-42(coaxial);Late Panther production model in units.json.;https://www.onwar.com/wwii/tanks/germany/ge026pantherg.html
german-hornisse;Hornisse;Nashorn or Hornisse;Germany;tank-destroyer;crew 5, combat weight about 24 t, Panzer III/IV chassis, open fighting compartment;494;1943-02;1944-01;30;profile from units.json, lightly armored open tank destroyer;15;profile from units.json;10;profile from units.json;5;profile from units.json, open top;42;15;30;6-10;1xgerman-kwk-43-l71(hull);Hornisse was the early name for the vehicle later called Nashorn, production total shared with Nashorn.;https://en.wikipedia.org/wiki/Nashorn
